Country,Latregion,Lat_mean,Long_mean,iso3Code,region,incomeLevel,wbLong,wbLat,population,landAreaSqkm,popDensity,popLargestCity,lifeExpectancy,gdpCapita,airTransport,carrierDepart,giniIndex,healthExpend,countryWB,soc_econ,huma_exem,lockdown,mov_rest,pub_health,soc_dist,CountryFree,WEBNAME,RegionFree,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),confirmedTotal,confirmZeroDays,confirmInfectDays,deathsTotal,deathsZeroDays,deathsInfectDays,recoveredTotal,recoveredZeroDays,recoveredInfectDays,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
Ukraine,Upper,48.3794,31.1656,UKR,Europe & Central Asia,Lower middle income,30.5038,50.4536,44622516,579290,77.0296673514129,2956706,71.5826829268293,3095.17358053586,7854842,66712,26.1,6.99532032012939,Ukraine,6,0,2,8,12,6,Ukraine,Ukraine,Europe,134,45,54.9,47.5,42.2,37.9,81.1,47.2,83.9,61.3,48.3,63,81.2,35,30,1.9,20,18,34.2,41.9583333333333,42.047,390.336,3.291,-1.6,9283.43,9.4,10.947,2355,63.856,19230,41,79,564,51,69,5955,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,4,1,3,4,3,2,5,5,5,1,7,7,5,12,4,10,10,5,10,8,9,8,8,10,10,13,13,14,0,8,11,19,11,11,11,7,9,15,13,11,13,21,15,15,17,17,14,17,20,21,17,21,13,16
Denmark,Upper,63.2878,-13.3381,DNK,Europe & Central Asia,High income,12.5681,55.6763,5793636,41990,137.976565849012,1320826,81.3512195121951,61390.6930097009,,,28.7,10.1082794368267,Denmark,35,0,0,4,67,36,Denmark,Denmark,Europe,8,4,78.3,86.3,84.6,93,42,19.7,97.7,88.7,86.2,84.6,86.4,90,80,1.8,56,23.5,46,51.7450123778333,5.781,301.319,1.217,2,52120.54,5,0.709,1789.49802205042,34.269,11315,36,84,554,52,68,9734,44,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,3,4,0,11,8,2,7,11,13,7,5,13,14,19,16,22,18,8,16,15,19,10,13,13,12,14,10,12,15,10,9,9,6,14,10,9,15,4,5,7,9,9,8,15,9,9,10,3,8,8,4,3,4,-6,6,4,0,6,4,1,3,3
Hungary,Upper,47.1625,19.5033,HUN,Europe & Central Asia,High income,19.0408,47.4984,9775564,90530,107.981486799956,1759497,75.8170731707317,16150.7727613725,31226848,183541,30.6,6.87998980283737,Hungary,31,0,3,17,30,16,Hungary,Hungary,Europe,62,33,66.4,64.8,45.7,47.5,79.9,34.5,83.6,60.2,64.6,79.9,86.4,80,70,1.8,15,19,37.7,46.7299313480667,9.778,311.944,4.94,3.8,31902.67,3.7,2.849,6389.3368410032,69.393,3598,42,78,470,53,67,1454,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,1,2,1,0,0,1,2,2,1,4,1,5,6,2,4,9,11,8,11,8,14,10,13,12,8,14,16,17,10,14,12,14,23,0,10,8,11,9,12,11,12,5,11,12,10,10,9,13,8,8,4,5,6,6,6,3,11,5,3
Czechia,Upper,49.8175,15.473,CZE,Europe & Central Asia,High income,14.4205,50.0878,10629928,77220,137.657705257705,1291552,78.9780487804878,23069.383245434,5727200,50694,24.9,7.23133906722069,Czech Republic,33,0,1,23,47,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721,39,81,304,60,60,5830,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,2,5,7,8,8,5,9,6,8,11,10,11,13,7,10,9,5,18,5,3,4,8,5,8,7,7,2,4,4,2,3,4,0,9,4,5,3,4,5,5,8,3,3,4,2,1,7,3,2,1,2,-1,5,2
Finland,Upper,64,26,FIN,Europe & Central Asia,High income,24.9525,60.1608,5515525,303910,18.1485472672831,1279096,81.8341463414634,50175.2998156593,13364839,125804,27.4,9.20693874359131,Finland,28,0,0,11,49,21,Finland,Finland,Europe,20,11,75.7,92.3,80.5,96.1,67.5,11.2,90.7,84.8,50.3,83.6,86.4,85,80,1.8,31.25,20,43.3,54.4155241640333,5.524,256.456,2.429,1.4,46429.53,7.8,1.169,1225.22692666344,60.517,6443,7,113,304,59,61,4800,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,4,0,2,1,5,3,-1,7,6,2,6,1,7,3,5,8,3,7,8,4,4,43,8,23,5,9,4,3,6,7,5,7,2,10,10,6,6,3,5,5,2,4,4,9,3,6,4,1,2,1,3
Israel,Upper,31,35,ISR,Middle East & North Africa,High income,35.2035,31.7717,8882800,21640,410.480591497227,4010977,82.8024390243903,41719.7254417057,7404373,53901,39,7.40746408700943,Israel,11,1,10,21,42,16,Israel,Israel,Middle East and North Africa,26,2,74,82.3,71.8,77.2,61,53.5,89.2,72.2,64.4,84.9,86.2,75,70,1.9,48,23,32.7,39.3622432878,8.881,337.231,3.282,3.4,37972,4,0.815,21803,59.587,16667,30,90,279,59,61,13504,36,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,4,0,3,1,4,6,10,4,4,5,8,8,8,13,9,6,2,13,7,7,12,9,13,8,5,7,5,3,2,5,2,3,6,5,7,3,4,3,3,3,1,1,5,2,5,6,2,4,1,1,2,4,4,2,1
"Korea, South",Upper,36,128,KOR,East Asia & Pacific,High income,126.957,37.5323,51606633,97489.00390625,529.358501289308,9963497,82.6268292682927,31380.1464468654,88157579,526374,31.6,7.60386362671852,"Korea, Rep.",4,0,1,7,30,6,"Korea, South",SouthKorea,Asia-Pacific,25,7,74,82.5,61,67.5,63.9,67.7,96.7,90.5,56.2,82.1,80,70,70,5,42,25,26.9,32.8005915430667,51.663,2136.315,2.668,3,41350.59,3.8,1.477,14479.3,40.711,11122,0,120,264,29,91,10135,16,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2,2,1,0,3,1,11,0,7,0,7,2,6,3,1,6,6,0,6,3,0,6,3,7,3,8,9,0,9,6,5,8,5,8,6,4,3,4,5,3,6,3,6,8,4,4,3,3,3,5,3,4,1,2,2,2,1,1,2,0,2,1,1,2,1,1,2,0,2,2,1,1,0,0,0,0,2,1,1,0,2,0,1,0,0,1
Serbia,Upper,44.0165,21.0059,SRB,Europe & Central Asia,Upper middle income,20.4656,44.8024,6982604,87460,79.8376857992225,1389351,75.5390243902439,7246.19198607054,2262703,28160,36.2,8.43395814299583,Serbia,2,0,3,15,8,10,Serbia,Serbia,Europe,65,35,66,55.4,46.8,44,83.7,49.7,94.1,72.6,66.9,80.7,78,70,50,6,10,15,36.1,40.9333333333333,6.993,122.759,4.354,2,17555.15,13.5,1.96,4125.50195351692,54.342,10833,44,76,235,58,62,5067,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-3,0,9,3,3,0,12,3,8,5,7,7,3,4,1,5,3,6,5,9,5,4,7,7,5,3,5,4,5,5,7,5,6,6,5,6,0,10,4,4,3,3,3,3,6,0,3,2,2,2,1,3,2,1,3,1
Norway,Upper,60.472,8.4689,NOR,Europe & Central Asia,High income,10.7387,59.9138,5311916,365123.0078125,14.5482916341657,1012225,82.8121951219512,81734.4655736102,,,27,10.4463420808315,Norway,18,0,0,8,44,22,Norway,Norway,Europe,28,15,73.4,84.3,82.8,95.6,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75,60,3.1,47.8,22,38.2,49.7947912105333,5.324,395.867,1.399,1.7,74356.07,3.9,2.765,-18214.6941284968,36.751,8281,35,85,234,52,68,32,47,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,3,2,2,0,5,4,2,7,7,5,6,9,3,9,5,13,12,7,5,6,9,6,5,11,2,9,3,1,16,1,5,7,5,2,0,4,1,1,3,0,1,0,3,1,1,1,1,1,0,5,4,1,3,0,0,0,1,0,1
Moldova,Upper,47.4116,28.3699,MDA,Europe & Central Asia,Lower middle income,28.8497,47.0167,2706049,32890,123.51980353224,509707,71.808,4228.9224754993,1135999,13590,25.7,7.0129506289959,Moldova,6,0,1,8,6,6,Moldova,Moldova,Europe,87,40,62,60.5,31.7,37.2,86.1,71.6,96.2,68.1,37,72,78,55,50,3.5,12,12,33.2,30.7583333333333,3.544,25.888,4,3.6,7304.5,3.4,3.059,227.73,27.113,6553,46,74,228,56,64,2953,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,4,3,4,3,5,2,0,1,1,4,5,6,8,2,1,10,3,2,3,5,4,10,2,6,1,8,5,6,2,1,7,4,7,2,5,11,8,6,7,3,9,8,5,4,6,4,7
Morocco,Upper,31.7917,-7.0926,MAR,Middle East & North Africa,Lower middle income,-6.8704,33.9905,36029138,446300,80.7285189334528,3683566,76.453,3222.20063433213,8132917,80154,39.5,5.24520017206669,Morocco,20,0,1,10,26,11,Morocco,Morocco,Middle East and North Africa,78,7,63.3,66.3,48,39.2,71.8,72.8,67.2,70.4,33,77,78.6,65,70,3.2,38,30,21.8,30.131,35.22,314.605,3.057,3.1,8932.58,9,1.914,3640.38311971958,65.177,7133,40,80,194,48,72,4098,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,5,12,2,1,7,3,3,5,4,11,11,10,10,3,4,10,4,7,8,0,1,3,5,2,4,2,2,4,6,3,1,2,1,3,3,2,1,2,1,5,2,2,0,3,0,2,0,0,0,2,0,2,0,0,1,1
Afghanistan,Upper,33,65,AFG,South Asia,Low income,69.1761,34.5228,37172386,652860,56.937760009803,4011770,64.486,520.896602719135,1722612.61,24433.446,,11.7771938443184,Afghanistan,5,0,1,9,32,6,Afghanistan,Afghanistan,Asia-Pacific,136,33,54.7,48.3,30,24.8,91.4,79.2,99.9,54.7,61.6,81,66,10,10,7,20,20,7.6,26.3296666666667,36.02,72.648,2.3,2.2,2016.89,1.5,0.626,139.2,7.079,8145,33,87,187,60,60,930,54,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,1,0,4,3,0,1,0,3,0,3,2,2,5,0,0,3,3,0,4,2,1,4,3,7,1,2,4,4,4,13,5,5,9,2,3,6,5,2,5,5,4,17,15,1,4,5,9
Belarus,Upper,53.7098,27.9534,BLR,Europe & Central Asia,Upper middle income,27.5766,53.9678,9483499,202988.0078125,46.7195037884204,2004672,74.1756097560976,6330.0752464187,2760168,31676,25.2,5.92578575015068,Belarus,6,0,0,7,18,3,Belarus,Belarus,Europe,88,41,61.7,63.2,48.4,37.4,88.8,54.1,95.4,76.4,74.8,69.8,82,30,20,1.5,13,18,25.1,39.1023333333333,9.457,189.178,3.031,0.2,20003.03,5.7,4.867,1469.4,47.831,32426,37,83,179,69,51,11415,47,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,5,0,0,3,3,4,3,3,4,3,4,2,3,2,4,4,3,2,3,4,5,3,4,5,5,4,4,2,4,4,5,4,5,5,5,4,7,4,5,5,4,5,6,4,4
Greece,Upper,39.0742,21.8243,GRC,Europe & Central Asia,High income,23.7166,37.9792,10731726,128900,83.2562141194725,3155600,81.2878048780488,20316.5683305736,15125933.5152598,144040,34.4,8.04139003157616,Greece,4,0,9,24,8,10,Greece,Greece,Europe,100,44,59.9,57,48.6,51.2,59,31.5,80,73.7,52,79.4,81.4,55,50,1.8,42,28,39.4,47.7761901077,10.736,312.661,2.098,0.7,29122.96,19.2,0.774,4256.6661551718,183.257,2850,35,85,166,49,71,1374,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,7,2,2,3,2,4,2,4,6,5,6,1,3,10,5,5,6,2,2,4,5,1,5,1,2,1,3,3,2,3,3,5,0,4,5,0,4,2,2,1,1,0,3,1,2,0,1,1,2,1,0,0,1,3,1,4,2,1,2,0,1
Bosnia and Herzegovina,Upper,43.9159,17.6791,BIH,Europe & Central Asia,Upper middle income,18.4214,43.8607,3323929,51200,64.92048828125,342577,77.262,6065.67270824158,7071,81,33,8.93166735768318,Bosnia and Herzegovina,21,0,2,24,60,42,Bosnia and Herzegovina,BosniaHerzegovina,Europe,82,38,62.6,44.4,33.9,41.8,83.6,49.3,97.3,45.7,67.4,82.7,80,65,60,2.5,10,10,37.9,41.0923333333333,3.504,47.266,3.1,2.7,13490.95,20.8,1.369,467.733058135535,36.998,2338,43,77,136,59,61,1557,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,4,3,0,3,1,4,2,6,4,1,1,1,1,2,0,1,1,2,3,1,1,1,2,2,1,1,2,2,1,3,2,4,1,2,5,1,1,7,4,8,4,5,6,4,3,2,6,1,4,0,1,2
Iraq,Upper,33,44,IRQ,Middle East & North Africa,Upper middle income,44.394,33.3302,38433600,434128.0078125,88.5305700354617,6811955,70.454,5834.16621076061,2075065.8,21071,29.5,4.16663028299809,Iraq,3,0,4,31,6,5,Iraq,Iraq,Middle East and North Africa,,,,43.9,11.2,20.8,,59.5,76.6,52.6,44.8463508800232,76.4437025653931,,,,,15,15,2.03364817441081,36.735,38.124,673.251,0.585,3.1,17659.42,7.9,0.367,-4885.1,48.415,3724,33,87,134,42,78,2438,47,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,0,1,1,1,0,0,1,1,1,4,0,3,3,4,2,7,4,2,0,4,4,2,2,0,2,5,3,1,4,0,1,2,4,2,0,1,1,1,1,0,0,1,0,0,3,0,1,1,2,2,1,1,1,2,1,4,0,0,2,3,2,1,2,3,0,2,4,2,4,4,3
Bulgaria,Upper,42.7339,25.4858,BGR,Europe & Central Asia,Upper middle income,23.3238,42.7105,7025037,108560,64.7110998526161,1272418,74.8658536585366,9271.54563263874,1022645,11435,40.4,8.09560343623161,Bulgaria,13,0,5,11,14,5,Bulgaria,Bulgaria,Europe,36,19,70.2,64.2,45.4,44.2,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70,60,1.8,10,10,27.7,33.5916666666667,7.01,162.318,3.2,3.3,23155.64,5.3,2.631,2058.80026912499,20.518,2292,46,74,116,49,71,684,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,2,0,4,3,3,2,1,1,0,1,3,1,3,3,1,2,3,0,1,1,2,4,3,2,1,1,2,0,6,2,2,4,1,5,2,4,0,2,4,1,2,2,1,3,3,3,3,2,2,4
North Macedonia,Upper,41.6086,21.7453,MKD,Europe & Central Asia,Upper middle income,21.4361,42.0024,2082958,25220,82.5915146708961,584208,75.688,6083.71894832148,86868,1389,34.2,6.06211498379707,North Macedonia,1,0,0,11,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,35,85,110,60,60,1367,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1,2,2,0,1,5,1,5,3,3,1,2,2,0,4,6,1,1,3,0,2,3,1,1,0,1,2,2,4,6,2,4,4,1,2,1,1,2,1,1,1,0,0,1,3,0,2,1,3,3,2,4
Luxembourg,Upper,49.8153,6.1296,LUX,Europe & Central Asia,High income,6.1296,49.61,607950,2430,250.185185185185,,82.0951219512195,116597.295637954,2099102,51824,34.9,5.4810743778944,Luxembourg,21,0,2,2,31,28,Luxembourg,Luxembourg,Europe,19,10,75.8,86.4,74.4,90.3,64.1,45.4,99,66.8,45.3,76.4,86.4,95,80,1.8,42,18,38.7,42.6607566001333,0.602,64.237,2.96,3,106704.93,5.5,2.018,-5615.03322749324,21.809,3971,38,82,109,52,68,3728,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,0,1,6,3,3,1,1,6,1,1,0,5,5,3,2,6,2,8,4,3,-2,2,0,3,0,1,2,3,2,3,2,0,3,0,1,0,1,2,0,4,0,0,2,2,0,1,0,0,1,1,0,1,0,3,0,2,0
Slovenia,Upper,46.1512,14.9955,SVN,Europe & Central Asia,High income,14.5044,46.0546,2073894,20141.9995117188,102.96366052404,,81.0292682926829,26041.8189678271,1094762,18444,24.2,8.18701758980751,Slovenia,15,0,1,13,15,4,Slovenia,Slovenia,Europe,52,27,67.8,76.5,48.6,67.4,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70,50,1.8,50,17,36,43.6195130666,2.068,75.976,4.491,3.5,36745.89,5.5,1.739,1418.68175969971,68.491,1468,43,77,105,52,68,1340,63,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,3,0,2,0,4,0,2,3,2,6,2,6,4,3,2,5,3,2,1,5,0,5,4,4,3,0,2,0,1,1,1,1,3,3,2,1,2,2,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1
Croatia,Upper,45.1,15.2,HRV,Europe & Central Asia,High income,15.9614,45.8069,4087843,55960,73.0493745532523,685587,78.0707317073171,14915.3720715736,2093577,27189,30.4,6.78913369774818,Croatia,11,0,2,11,17,29,Croatia,Croatia,Europe,84,39,62.2,69.9,39.6,51,65.9,34.7,89.1,53.6,44,77.6,86.4,75,60,2,40,18,38.6,46.6463333333333,4.096,107.406,2.708,2.3,26221.43,8.9,1.5,1159.41524333384,73.86,2234,34,86,96,57,63,1978,51,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,1,1,4,3,1,2,1,1,1,0,2,2,6,2,2,1,3,8,0,1,0,2,1,3,1,4,4,4,2,6,2,2,1,3,2,1,0,1,3,1,0,3,0,1,0,0,0,1,0
Armenia,Upper,40.0691,45.0382,ARM,Europe & Central Asia,Upper middle income,44.509,40.1596,2951776,28470,103.680224798033,1080324,74.945,4212.07094272937,0,0,34.4,10.3627048432827,Armenia,5,0,4,16,8,6,Armenia,Armenia,Europe,34,18,70.6,60.7,54.1,43.4,84.9,80.6,68.8,81,72.5,76,80.6,75,70,2.2,26,20,20.8,25.4093333333333,2.991,30.438,5.028,3.9,10176.09,17.7,2.522,254.262,48.493,5271,39,81,67,64,56,2419,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,0,0,0,1,0,1,1,2,1,0,1,2,1,1,1,1,0,2,2,0,0,3,1,0,1,1,0,2,1,0,2,4,1,0,2,1,1,1,1,1,1,1,3,3,5,1,3,3
Estonia,Upper,58.5953,25.0136,EST,Europe & Central Asia,High income,24.7586,59.4392,1321977,43470,30.4112491373361,437027,78.5439024390244,23247.1098430453,31981,790,30.4,6.42935782670975,Estonia,32,0,3,19,46,30,Estonia,Estonia,Europe,10,5,77.7,83.2,73.7,85.9,81.1,53.3,99.9,73.5,57.3,78.6,86.4,90,70,1.8,20,20,33,39.446981425,1.319,44.955,3.866,3.4,34095.76,5.5,3.412,1309.3579952549,8.05,1794,36,84,64,63,57,956,53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,6,1,1,2,4,2,3,0,0,0,1,3,3,4,1,2,0,2,0,3,1,1,1,0,3,1,0,0,2,0,1,2,0,0,0,1,0,4,0,1,0,0,1,1,0,0,1,0,0
Lithuania,Upper,55.1694,23.8813,LTU,Europe & Central Asia,High income,25.2799,54.6896,2801543,62642.001953125,44.7230757742448,536055,76.290243902439,19071.299790553,26031,2375,37.3,6.45756423473358,Lithuania,9,0,0,21,32,38,Lithuania,Lithuania,Europe,16,9,76.7,77.9,62.1,67.4,84.9,66,97.4,71.9,76.5,79.7,86.4,80,70,1.8,20,15,29.8,33.66,2.785,97.006,3.446,3.1,34825.79,6,2.531,905.074422502626,35.908,1577,37,83,60,59,61,1049,53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,1,0,1,0,2,2,2,0,0,1,6,1,0,1,5,1,2,1,0,2,2,1,0,2,0,1,0,0,3,1,0,0,1,0,0,0,2,1,0,0,1,0,0,4,0,0,1,1,3,1,0
Andorra,Upper,42.5063,1.5218,AND,Europe & Central Asia,High income,1.5218,42.5075,77006,470,163.842553191489,,,42029.7627372989,,,,10.3205524384975,Andorra,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,40,80,51,60,60,639,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,2,4,2,1,1,1,1,3,1,1,2,1,0,3,0,2,2,0,2,0,1,1,0,0,0,3,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0
Tunisia,Upper,34,9,TUN,Middle East & North Africa,Lower middle income,10.21,36.7899,11565204,155360,74.4413233779609,2290777,76.505,3447.50790975551,4274199,41446,32.8,7.23245739936829,Tunisia,7,0,1,15,44,5,Tunisia,Tunisia,Middle East and North Africa,128,10,55.8,56.4,43.6,39.7,74.2,73.1,38.8,78.1,49.8,73.9,66.4,45,30,9.3,35,30,21.4,29.954,11.659,144.244,2.479,1.9,12371.69,15.5,7.308,1035.94056376021,76.978,1045,42,78,47,57,63,862,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,2,0,0,2,2,2,4,0,4,0,1,1,1,0,3,3,3,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
